,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
854,1960015750611325201,Mon Aug 25 16:40:54 +0000 2025,3,@DarsAlexandra1 Bubarkan DPR RI SKRNG jg Gedung DPR isinya BINATANG SEMUA tak punya hati tak punya rasa prihatin terhadap rakyat jelata masih banyak rakyatnya yg sudah pendapatan saja per bln 2 jt rupiah wakil rakyat gaji nya 200 jt rupiah per bulan plus Tunjangan BAJINGAN semua kalian @DPR_RI,1960019566794543463,,DarsAlexandra1,in,,0,0,0,https://x.com/undefined/status/1960019566794543463,1642627278789283840,
855,1960018584627007514,Mon Aug 25 16:37:00 +0000 2025,0,Demo 25 Agustus gak pada jelas Tujuannya mau Bubarkan DPR apa Mau tauran .?,1960018584627007514,,,in,,0,0,0,https://x.com/undefined/status/1960018584627007514,1675174076858650624,
856,1960018275326361621,Mon Aug 25 16:35:46 +0000 2025,41,Ternyata Korban Yang Ditabrak Mobil Brio Putih Saat Demo Bubarkan DPR Adalah Seorang Relawan Kemanusiaan. #demo #bubarkandpr #mahasiswa #info #berita https://t.co/LjdUAWSDab,1960018275326361621,https://pbs.twimg.com/ext_tw_video_thumb/1960018203964551168/pu/img/pXRc0EaL8LTcig6n.jpg,,in,,0,1,11,https://x.com/undefined/status/1960018275326361621,1584459166311018497,
857,1960014403899965576,Mon Aug 25 16:35:11 +0000 2025,27,@nozelism Karena targetnya DPR (legislatif) mereka pake narasi bubarkan DPR (legislatif) tp support Wowo (eksekutif). Padahal mah sama aja wkwk,1960018124906037725,,nozelism,in,,1,5,3,https://x.com/undefined/status/1960018124906037725,2829874339,
858,1960017411849298430,Mon Aug 25 16:32:21 +0000 2025,15,Kualitas wakil ketua DPR RI kayak gini? Lalu ketika rakyat minta @DPR_RI di bubarkan marah? NGACA Woiiii....!!!!,1960017411849298430,,,in,,0,5,5,https://x.com/undefined/status/1960017411849298430,1709123175450288128,
859,1960017281758687337,Mon Aug 25 16:31:49 +0000 2025,0,Hmnggghh iyh BUBARKAN DPR RI ganti dengan DPR IANemuach sayngqu https://t.co/bTssg7zHPo,1960017281758687337,https://pbs.twimg.com/amplify_video_thumb/1960017179715522560/img/znD7OGKrvkncAig-.jpg,,in,,0,0,1,https://x.com/undefined/status/1960017281758687337,565886731,
860,1960016104040096167,Mon Aug 25 16:27:09 +0000 2025,0,Bukan bubarkan DPRnya lebih tepat untuk bubarkan fraksi2 di DPR 8 fraksi dpr ini lah yg membuat wakil2 rakyat di senayan itu berubah jadi petugas ketum partai. Kalau ga patuh bisa di PAW! Jadi bubarkan fraksi pindahkan fungsi PAW ke konstituennya masing2.,1960016104040096167,,,in,,0,1,0,https://x.com/undefined/status/1960016104040096167,123602150,
861,1960015770831970735,Mon Aug 25 16:25:49 +0000 2025,1,orang kontol ini 02 Voters gue liat tadi live tiktok bilang bubarkan DPR biar nanti dipegang Polri sama TNI sama aja monyet.,1960015770831970735,,,in,,1,0,0,https://x.com/undefined/status/1960015770831970735,480186707,
862,1960015190235443380,Mon Aug 25 16:23:31 +0000 2025,0,memang bukan salah lembaganya tapi orang orang di lembaga tersebut yang gak bener. bukan bubarkan dpr tapi ganti orang orangnya sama yang beneran pro rakyat,1960015190235443380,,,in,,0,0,0,https://x.com/undefined/status/1960015190235443380,1895395221560823808,
863,1960011659222942121,Mon Aug 25 16:09:29 +0000 2025,9,Yang didemo adalah @DPR_RI Alasannya karena gak bekerja dgn baik Tuntutannya : bubarkan DPR Aksinya bikin chaos ngerusak fasum pos polisi di akar bakar gedung DPR maksa presiden @prabowo mengeluarkan dekrit.... Demo yang membagongkan segala pake memaksa bertindak anarkis. https://t.co/y9QPcDQnsB,1960011659222942121,https://pbs.twimg.com/ext_tw_video_thumb/1960011631628525568/pu/img/lE6Xhrqku7nLxPy4.jpg,,in,,0,1,6,https://x.com/undefined/status/1960011659222942121,1152447574411902977,
864,1959886463761252766,Mon Aug 25 15:59:20 +0000 2025,143,@Anak__Ogi kan dah dibilang biang kerok itu bukan cuma DPR eksekutif jg salah satu biang kerok klo kalian mau bubarin salah satunya tidak akan efektif bubarkan seluruhnya turunkan semua pejabat yg skrg menduduki kekuasaan karena itulah solusi yg efektif,1960009103641866513,,Anak__Ogi,in,,0,3,7,https://x.com/undefined/status/1960009103641866513,1888471513122398208,
865,1960008988634067433,Mon Aug 25 15:58:52 +0000 2025,43,Massa aksi demo bubarkan DPR RI Senin malam ricuh di Slipi Palmerah Jakbar. Motor milik anggota polisi dibakar massa. https://t.co/dF8JqQNrkv,1960008988634067433,https://pbs.twimg.com/ext_tw_video_thumb/1960008917729304576/pu/img/EnaBbUs9e3_moWLD.jpg,,in,,1,1,21,https://x.com/undefined/status/1960008988634067433,903306838552092672,
866,1959926791298003238,Mon Aug 25 15:58:16 +0000 2025,0,@randomable_ seharusnya bukan bubarkan DPR tapi bersihkan DPR ,1960008834766029181,,randomable_,in,,0,0,0,https://x.com/undefined/status/1960008834766029181,1744907586108059648,
867,1960007093144244431,Mon Aug 25 15:51:20 +0000 2025,9,Diduga mobil pejabat mobil hancur di rusak pengunjuk rasa demo bubarkan DPR RI pada Senin (25/8/25). Mobil Hyundai Palisade itu hancur di lempar batu &amp; bambu oleh masa aksi di Jalan Gatot Subroto Senayan Jakarta Pusat. #gedungdprri #Demo https://t.co/HwaPBc1TcT,1960007093144244431,https://pbs.twimg.com/ext_tw_video_thumb/1960006946205130752/pu/img/kP2BAvpA_fdULnMO.jpg,,in,,0,2,5,https://x.com/undefined/status/1960007093144244431,2367085100,
868,1959901861332595011,Mon Aug 25 15:48:40 +0000 2025,1,@kompascom SELAMA PARTAI POLITIK DI INDONESIA MASIH LAKU. @DPR_RI TIDAK DAPAT DI BUBARKAN https://t.co/yVe8jBwfYQ,1960006418846953710,https://pbs.twimg.com/media/GzNXc0AbkAAnwcr.png,kompascom,in,,0,0,0,https://x.com/undefined/status/1960006418846953710,200395444,
869,1960005556602827127,Mon Aug 25 15:45:15 +0000 2025,0,Gua juga heran kok ada kelompok-kelompok pergerakan yang mutusin demo dgn tuntutan bubarkan dpr tapi kaya tanpa kajian lebih dulu. Ya masa iya ga ngerti kalo dpr dihapus apa yang terjadi. Masa iya juga ga liat ada yang aneh. How?,1960005562831413414,,ELLsvoices,in,,0,1,0,https://x.com/undefined/status/1960005562831413414,1891417575692828672,
870,1960005556602827127,Mon Aug 25 15:45:15 +0000 2025,0,Belum lagi poster-poster provokasi bubarkan dpr bikinan buzzer yang ada dimana-mana. Yaa masa iya ga tau template nya buzzer kalo bikin poster gimana.,1960005559262019914,,ELLsvoices,in,,0,1,0,https://x.com/undefined/status/1960005559262019914,1891417575692828672,
871,1959752114743414984,Mon Aug 25 15:43:30 +0000 2025,0,@MurtadhaOne1 Bubarkan DPR!!!,1960005119724175369,,MurtadhaOne1,in,,0,0,0,https://x.com/undefined/status/1960005119724175369,1498038985528340481,
872,1959994646291185750,Mon Aug 25 15:01:53 +0000 2025,0,Demo Hari Ini: Massa Bergerak Tuntut Bubarkan DPR #IndonesiaGelap #BubarkanDPR https://t.co/OXlwmzk3uT,1959994646291185750,,,in,,0,0,0,https://x.com/undefined/status/1959994646291185750,251036927,
873,1959860201789468890,Mon Aug 25 15:01:27 +0000 2025,0,@strssovrld Sama Persatuan Bangsa reformasi dewan lebih berarti dari sekadar seruan bubarkan DPRDaripada seruan bubarkan DPR yuk bersama Persatuan Bangsa dorong transparansi dan akuntabilitas biar makin pro rakyat,1959994536983400945,,strssovrld,in,,0,0,0,https://x.com/undefined/status/1959994536983400945,1701097509442158592,
874,1959994350320091338,Mon Aug 25 15:00:42 +0000 2025,6,Memang banyak susnya yang dateng aksi pun kebanyakan malah anak sekolah. Terus tumben banget akun-akun buzzer pada kompak dukung pake keyword bubarkan DPR bahkan warga tiktok pun (tumben) kompak juga pada ngelive. Padahal pas aksi sebelum-sebelumnya mereka ga pernah begitu.,1959994350320091338,,,in,,0,1,0,https://x.com/undefined/status/1959994350320091338,824945456,
875,1959491215453467087,Mon Aug 25 14:59:35 +0000 2025,5,@fzpermana @neohistoria_id biasain baca sampe tuntas kak. padahal neo historia poinnya jauh lebih kuat dibanding sebatas bubarkan dpr ,1959994068270006278,,fzpermana,in,,0,0,0,https://x.com/undefined/status/1959994068270006278,1391334845767294981,
